avg_rating,image,price,title,total_review
4.5,https://m.media-amazon.com/images/I/71ma4O2xcaL.__AC_SX300_SY300_QL70_ML2_.jpg,5.99,"Case-Mate Airtag Dog Collar Holder - Water Resistant Airtag Holder Dog Tag - Lightweight, Protective Airtag Case for Dog Collar - Pet Collar Airtag Loop - Compatible with Cat/Dog Collars - Black",650
4.4,https://m.media-amazon.com/images/I/41r1aEGfbvL._SX300_SY300_QL70_ML2_.jpg,8.99,"Dog Paw Cleaner for Medium Dogs (with 3 Absorbent Towels), Dog Paw Washer, Paw Buddy Muddy Paw Cleaner, Pet Foot Cleaner","1,561"
4.3,https://m.media-amazon.com/images/I/61MRk6lLpsL.__AC_SX300_SY300_QL70_ML2_.jpg,19.99,"GROWNEER 550GPH Submersible Pump 30W Ultra Quiet Fountain Water Pump, 2000L/H, with 7.2ft High Lift, 3 Nozzles for Aquarium, Fish Tank, Pond, Hydroponics, Statuary Black","8,768"
4.6,https://m.media-amazon.com/images/I/710KCIRVROL.__AC_SX300_SY300_QL70_ML2_.jpg,11.04,Pawfume Dog Shampoo and Conditioner – Hypoallergenic Dog Shampoo for Smelly Dogs – Best Dog Shampoos & Conditioners – Probiotic Pet Shampoo for Dogs – Best Dog Shampoo for Puppies (Blue Ribbon),"4,585"
4.6,https://m.media-amazon.com/images/I/61zNCgxrSyL.__AC_SX300_SY300_QL70_ML2_.jpg,19.75,"Coolaroo The Original Cooling Elevated Dog Bed, Indoor and Outdoor, Large, Aquatic Blue","3,608"
4.7,https://m.media-amazon.com/images/I/91yur0h-PJL.__AC_SX300_SY300_QL70_ML2_.jpg,4.24,"Marineland Eclipse Replacement Filter Cartridges, For aquarium Filtration","5,937"
4.4,https://m.media-amazon.com/images/I/81qYAG2n+4L._AC_SY300_SX300_.jpg,19.99,"LiBa Cardboard Cat House with Scratch Pad and Catnip, Cat Bed, Christmas Decor, Cat Scratcher Christmas Decorations for Cat, Gingerbread Cat House",497
4.5,https://m.media-amazon.com/images/I/71oUBB4bO6L.__AC_SX300_SY300_QL70_ML2_.jpg,6.99,"Nylon Training Dog Leash for Small Medium Large Dogs, 15ft 20ft 30ft 50ft Long Puppy Lead for Obedience Recall Training, Camping (20ft, Black)","8,153"
4.7,https://m.media-amazon.com/images/I/61MewRxjatL.__AC_SX300_SY300_QL70_ML2_.jpg,33.99,"Innovation Award Winner - Veken 85oz/2.5L Oval Stainless Steel Pet Fountain, Automatic Cat and Dog Water Dispenser with Smart Pump for Cats, Dogs, Multiple Pets, Faucet-Design",26
4.7,https://m.media-amazon.com/images/I/61K+V84B2XL._AC_SY300_SX300_.jpg,27.17,Litter Genie Easy Roll Pail | Cat Litter Box Waste Disposal System for Odor Control | Includes 1 Continuous Refill Bag,"1,343"
4.5,https://m.media-amazon.com/images/I/81SozmWSQ+L._AC_SX300_SY300_.jpg,10.13,"Chuckit Zipflight Flying Disc Dog Toy, Medium (8.5""), Colors May Vary","6,557"
4.5,https://m.media-amazon.com/images/I/81bKtFjMx9L.__AC_SX300_SY300_QL70_ML2_.jpg,42.99,"MUTTROS Cactus Cat Tree 40"" Cat Tower with Large Metal Carpet Hammock, Cat Scratching Post for Indoor Cats with Condo& Dangling Ball, Green",449
4.4,https://m.media-amazon.com/images/I/51D5kj0iIxL.__AC_SX300_SY300_QL70_ML2_.jpg,19.95,"Dimaka 29"" Tall Cat Scratching Post for Indoor Cats and Kittens, Cat Activity Scratcher Premium Sisal Rope Scratch Tree with Dangling Ball (Grey)","7,816"
4.4,https://m.media-amazon.com/images/I/51avztjlizL._SX300_SY300_QL70_ML2_.jpg,8.22,"Albert's Chews Fruit Assorted Bag, 240 Piece, 21.2 Ounce","8,173"
4.2,https://m.media-amazon.com/images/I/61fc3x8maWL.__AC_SX300_SY300_QL70_ML2_.jpg,3.84,"Arm & Hammer Complete Care Dog Dental Spray, 6 Fl Oz | Mint Flavor Dog Dental Spray for Easy Brushless Cleaning | Baking Soda Enhanced Formula for Fresh Breath and Tartar Control","1,189"
4.7,https://m.media-amazon.com/images/I/71qFpf-i7pL.__AC_SX300_SY300_QL70_ML2_.jpg,19.03,"FUKUMARU Cat Scratcher, 5 PCS Ex-Large Cat Scratching Boards, Cat Scratching Box, 5 in 1 Large Cardboard Cat Scratcher for Large Medium and Small Cats, Lazy Cat","4,337"
