avg_rating,image,price,title,total_review
4.5,https://m.media-amazon.com/images/I/61C-PyCaZNL.__AC_SX300_SY300_QL70_ML2_.jpg,184.00,"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gray (Renewed)","2,300"
4.1,https://m.media-amazon.com/images/I/61kUnVnEUTL.__AC_SX300_SY300_QL70_ML2_.jpg,159.97,Apple iPad Mini 4 32gb Gold WiFi + Cellular Unlocked (Renewed),83
5,https://m.media-amazon.com/images/I/61QsbfyDdfL.__AC_SY300_SX300_QL70_ML2_.jpg,329.97,"Apple iPad Pro (128GB, Wi-Fi + Cellular, Gold) - 12.9"" Display (Refurbished)",1
5,https://m.media-amazon.com/images/I/71l0Styp1uL.__AC_SX300_SY300_QL70_ML2_.jpg,829.00,"2018 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 1TB) - Silver (Renewed Premium)",3
4.5,https://m.media-amazon.com/images/I/71njEkHy69L.__AC_SX300_SY300_QL70_ML2_.jpg,124.99,"VNEIMQN Tablet for Kids, 10 Inch Kids Tablet, 4GB+64GB Android 13, 8-Core CPU, WiFi 6, 12H Battery, Parental Control 1280 * 800 HD Display Cameras, Blue",75
4.4,https://m.media-amazon.com/images/I/71HCIiKPphL.__AC_SX300_SY300_QL70_ML2_.jpg,199.99,"Newest 2023 Android 12 Tablet, 128GB+16(8+8 Expand)GB/512GB Expandable, Octa-Core Tablet with 5G WiFi, 8000mAh Battery, 10.1 inch Tablet with 21MP Camera, Tablet with Keyboard, Bluetooth, Mouse, Case",123
4.1,https://m.media-amazon.com/images/I/71An-c5txcL.__AC_SX300_SY300_QL70_ML2_.jpg,69.99,"TJD Android 11 Tablet, 10.1 Inch 128GB ROM 512GB Expandable Tablets, Quad-Core Processor Google GMS Tablet, 6000mAh Fast Charge, 8MP Dual Camera, IPS HD Touchscreen WiFi Bluetooth",180
4.2,https://m.media-amazon.com/images/I/71MhUZFdqNL.__AC_SX300_SY300_QL70_ML2_.jpg,423.89,"APPLE MP6G2LL/A iPad Pro with Wi-Fi 256GB, 12.9in, Space Grey (Renewed)",8
4,https://m.media-amazon.com/images/I/71yCC6wXcgL.__AC_SY300_SX300_QL70_ML2_.jpg,9.99,"Tablet 2 in 1 Tablets 10 inch Android 11 Tablet Set with Keyboard Case Mouse Stylus Film, 4GB+64GB Tablets 10.1"" Tab 1280*800 HD Touch Screen, 8MP Dual Camera Games Wi-Fi Bluetooth Tableta PC Black.",982
4.3,https://m.media-amazon.com/images/I/617UtctYt-L.__AC_SX300_SY300_QL70_ML2_.jpg,358.99,"Apple iPad Pro Wi-Fi and Cellular 512 GB with 11-Inch Liquid Retina Display, A12X Bionic Chip and Smart HDR Cameras (Space Gray, Renewed)",10
4.3,https://m.media-amazon.com/images/I/71K-M4WTmNL.__AC_SX300_SY300_QL70_ML2_.jpg,99.98,"Apple MGL12LL/A iPad Air 2 Gray 9.7-Inch Retina Display, 16GB, Wi-Fi (Renewed)","1,118"
4.3,https://m.media-amazon.com/images/I/716tV8ZcJ7L.__AC_SX300_SY300_QL70_ML2_.jpg,159.97,"Apple iPad Mini 4, 64GB with Retina Display, Wi-Fi + Cellular, Space Gray (Renewed)",483
4.5,https://m.media-amazon.com/images/I/51zUCyv7LSL.__AC_SX300_SY300_QL70_ML2_.jpg,474.97,"2018 Apple iPad Pro (12.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",67
4.2,https://m.media-amazon.com/images/I/61SIrllA15L.__AC_SX300_SY300_QL70_ML2_.jpg,,"Kids Tablet 7 Toddler Tablet for Kids, 64GB Tablet for Toddler Learning, Children Tablet with WiFi, Camera, IPS Screen, Parental Control, Pre-Installed Apps, for Boys Girl（Pink）",42
4,https://m.media-amazon.com/images/I/71XyLM7CeaS.__AC_SX300_SY300_QL70_ML2_.jpg,40.99,"Kids Tablet 7 inch Tablet for Kids Wifi Kids Tablets 32G Android 10 Dual Camera Educational Games Parental Control, Toddler Tablet with Kids Software Pre-Installed Kid-Proof YouTube Netflix (Pink)","2,242"
